Row Labels,Sum of usd pledged,,,,,,,,,
,,,Video Games,11830,,,,,,
,,,Wearables,1233,,,,,,
,,,Weaving,93,,,,,,
,,,Web,5153,,,,,,
,,,Webcomics,648,,,,,,
,,,Webseries,5762,,,,,,
,,,Woodworking,1167,,,,,,
,,,Workshops,164,,,,,,
,,,World Music,2102,,,,,,
,,,Young Adult,821,,,,,,
,,,Zines,391,,,,,,
,,,(blank),,,,,,,
,,,Grand Total,378661,,,,,,
